model,abalone-17_vs_7-8-9-10,segment0,kr-vs-k-one_vs_fifteen,kr-vs-k-zero_vs_fifteen,poker-8-9_vs_5,abalone-20_vs_8-9-10,shuttle-c0-vs-c4,car-vgood,car-good,abalone-19_vs_10-11-12-13,winequality-red-4,poker-8-9_vs_6,yeast6,yeast5,yeast4,yeast3,yeast1,winequality-white-3-9_vs_5,poker-8_vs_6,kr-vs-k-zero_vs_eight,flare-F,yeast-0-2-5-7-9_vs_3-6-8,yeast-0-2-5-6_vs_3-7-8-9,vowel0,yeast-1-2-8-9_vs_7,winequality-white-3_vs_7,winequality-red-8_vs_6-7,vehicle3,vehicle2,vehicle1,vehicle0,pimaImb,abalone9-18,yeast-1-4-5-8_vs_7,winequality-red-3_vs_5,wisconsinImb,winequality-red-8_vs_6,abalone-21_vs_8,yeast-0-5-6-7-9_vs_4,yeast-2_vs_4,yeast-0-3-5-9_vs_7-8,abalone-3_vs_11,yeast-2_vs_8,page-blocks-1-3_vs_4,yeast-1_vs_7,led7digit-0-2-4-5-6-7-8-9_vs_1,dermatology-6,ecoli4,ecoli3,ecoli2,ecoli1,ecoli-0-1-4-7_vs_2-3-5-6,ecoli-0-1-4-7_vs_5-6,habermanImb,ecoli-0-1-3-7_vs_2-6,ecoli-0-1-4-6_vs_5,ecoli-0-3-4-7_vs_5-6,poker-9_vs_7,ecoli-0-1_vs_2-3-5,ecoli-0-1_vs_5,shuttle-6_vs_2-3,ecoli-0-2-6-7_vs_3-5,ecoli-0-6-7_vs_3-5,ecoli-0_vs_1,ecoli-0-6-7_vs_5,new-thyroid2,new-thyroid1,glass6,glass5,glass4,glass2,glass1,glass0,glass-0-1-2-3_vs_4-5-6,glass-0-1-4-6_vs_2,ecoli-0-3-4-6_vs_5,ecoli-0-4-6_vs_5,ecoli-0-2-3-4_vs_5,ecoli-0-3-4_vs_5,glass-0-1-6_vs_2,glass-0-1-6_vs_5,cleveland-0_vs_4,glass-0-1-5_vs_2,winequality-white-9_vs_4,iris0,lymphography-normal-fibrosis,shuttle-c2-vs-c4,glass-0-6_vs_5,zoo-3,glass-0-4_vs_5,Average
AvgKNN,0.838887299771167,0.6811439990968681,0.7035952943804329,0.6235127634435194,0.8039939024390244,0.8411706349206349,0.5843023040381807,0.5,0.5,0.6442452830188679,0.6848943295992609,0.8518621575342465,0.5263774189572291,0.6504216269841271,0.6690061028770705,0.5607306600684084,0.5566578696475205,0.9048497854077253,0.6843387776606955,0.5141985303275626,0.6844707320581045,0.5731519686691378,0.6458493600951116,0.5444908696997833,0.6309117780809459,0.9304865056818182,0.6480810234541577,0.5551743052880969,0.6221321610111279,0.5787241866718763,0.520224322713283,0.7016705607476637,0.8050926689765165,0.502122641509434,0.7961856617647058,0.9758793599292088,0.6851540616246499,0.9221352598836042,0.6429319371727749,0.7626684636118598,0.6093406593406593,0.7418594687232218,0.8004742547425474,0.7736235595390525,0.5783382066276802,0.5536870026525199,0.6601851851851852,0.7450396825396826,0.50625,0.520575910604921,0.6224756474221905,0.751907719609583,0.7979591836734694,0.6798177083333332,0.8146118721461187,0.76953125,0.8391891891891892,0.8421516754850088,0.777811004784689,0.7766335227272727,0.9936079545454546,0.8340595497458243,0.7845588235294118,0.756649688737974,0.79453125,0.8407738095238095,0.8695436507936507,0.6974148061104583,0.6655052264808362,0.9049689440993788,0.5856864654333008,0.5117117117117116,0.7170807453416149,0.8467557251908397,0.5282730514518594,0.8032094594594595,0.8625856164383562,0.7698275862068966,0.8363715277777777,0.5301604869950194,0.8201438848920863,0.8203125,0.5241935483870968,0.5692307692307692,0.69375,0.9978070175438596,0.9629629629629629,0.8318264014466547,0.9473684210526316,0.8095238095238095,0.7147064962972913
LaKNN,0.844548531655225,0.7301977522584302,0.7151220147795172,0.6590278350232187,0.8317378048780488,0.8385747354497355,0.5887117691959951,0.5,0.5,0.6486635220125786,0.6104919736690149,0.9021404109589042,0.5565450511524713,0.6934771825396826,0.6610178727114211,0.5391347063532494,0.5400598289417324,0.8894635193133047,0.684668071654373,0.5254286544609125,0.6840752193297858,0.6491974963284145,0.6566455696202531,0.528628907458991,0.6312528422010004,0.9016335227272727,0.5954157782515992,0.5618792525938634,0.6278220451527224,0.5862455325848378,0.5108876804982787,0.7056834112149533,0.8191992520486169,0.5226415094339623,0.7334558823529412,0.9796032740948308,0.6483893557422968,0.9167168372466385,0.6692735602094241,0.7623989218328842,0.6226648351648352,0.6936589545844044,0.8358739837398373,0.7813060179257362,0.5712719298245613,0.5548541114058356,0.671412037037037,0.7405753968253969,0.5138392857142857,0.5393789620715591,0.6327710461709036,0.7326530612244898,0.796530612244898,0.6802083333333332,0.7908675799086758,0.7666766826923077,0.8317567567567568,0.9947089947089948,0.7963516746411482,0.7947443181818182,0.9936079545454546,0.8703703703703705,0.7623161764705882,0.760752688172043,0.8037109375,0.8700396825396826,0.9019097222222222,0.7012338425381903,0.6385017421602787,0.9099378881987578,0.5995618305744888,0.5213213213213213,0.7176242236024845,0.8404580152671757,0.5384615384615384,0.7793496621621622,0.8632277397260274,0.7976293103448275,0.8224826388888888,0.5514665190924184,0.8458376156217884,0.83046875,0.5037220843672456,0.5865384615384615,0.7106250000000001,0.9956140350877193,0.9696969696969696,0.8625678119349005,0.9572368421052632,0.8290043290043291,0.7203048596178199
MedKNN,0.8319090865751335,0.648094415714495,0.6037870185953874,0.602519715329871,0.7625000000000001,0.8426421957671958,0.5773731445044724,0.5,0.5,0.6387106918238994,0.6823439966123879,0.7968750000000001,0.509367681498829,0.6297743055555555,0.6664450741063643,0.5646495888217743,0.5576544429552457,0.8991201716738197,0.6585550579557429,0.5589114460082203,0.6674636847403999,0.516189943352682,0.6270630813343591,0.5479147322810275,0.5993917689859027,0.9329279119318181,0.6668976545842218,0.546374426665733,0.6169002152310299,0.5718980912214573,0.5203824677931462,0.6931425233644859,0.7977506462079964,0.5047955974842767,0.7891773897058824,0.9631295627166138,0.6872549019607843,0.923841059602649,0.6126636125654451,0.731300539083558,0.5920673076923078,0.835261353898886,0.6998644986449865,0.7681177976952626,0.5704191033138402,0.516339522546419,0.6538194444444444,0.7454117063492063,0.5014136904761904,0.5107983238422692,0.617288350360339,0.7496894409937888,0.791734693877551,0.6680121527777779,0.8045662100456621,0.7635216346153846,0.8285135135135135,0.6507936507936508,0.7655502392344498,0.7590553977272727,0.9936079545454546,0.7982933914306464,0.789889705882353,0.7519100169779287,0.7736328124999999,0.7636408730158729,0.7879464285714286,0.700940070505288,0.7121080139372822,0.7366459627329193,0.5464946445959104,0.5047297297297297,0.6982142857142857,0.794179389312977,0.5185939887926644,0.8133445945945945,0.8514554794520549,0.7495689655172414,0.8231336805555556,0.5149418926397343,0.7836587872559095,0.806640625,0.5412531017369727,0.5365384615384615,0.6803125,0.9956140350877193,0.9124579124579124,0.7757685352622061,0.8601973684210527,0.7857142857142857,0.6960150930070392
PCA,0.6295051487414187,0.7428235842326621,0.9999627719970962,0.9999999999999999,0.5732012195121952,0.6344246031746031,0.9984288964479721,0.7199826489300174,0.5403987120641227,0.620943396226415,0.6019363282904108,0.5625856164383561,0.7396770615062246,0.8905009920634921,0.7368134263295554,0.5590277272396478,0.5300491896149117,0.8650214592274679,0.5532797681770285,0.6749699007763523,0.8029088163382713,0.8234491922512064,0.7478494999650326,0.9375967192819561,0.6726352887676216,0.8211115056818181,0.5892324093816631,0.5972830082980288,0.5721481888537803,0.5715993058987119,0.583664829750739,0.6311331775700935,0.6431281966672165,0.6072327044025156,0.8134191176470588,0.9566108694049111,0.6558823529411764,0.8175797712221554,0.6734947643979058,0.8383423180592993,0.6021978021978022,1.0,0.7838753387533876,0.6263764404609475,0.6567982456140351,0.8546949602122016,0.9212962962962963,0.8179563492063492,0.6895833333333333,0.530246051359192,0.5576938306802882,0.7858030168589174,0.812857142857143,0.5034288194444445,0.8182648401826484,0.7956730769230769,0.7640540540540541,0.8624338624338624,0.8253588516746411,0.8771306818181819,0.9332386363636364,0.7716049382716049,0.7838235294117647,0.8681380871533673,0.8355468749999999,0.8854166666666666,0.888640873015873,0.8933607520564042,0.5374564459930314,0.8347826086956521,0.6343719571567672,0.5803303303303303,0.657608695652174,0.8854961832061068,0.6067244014263882,0.7905405405405406,0.798373287671233,0.8025862068965517,0.8051215277777778,0.6032097399003874,0.6382322713257965,0.903125,0.5880893300248138,0.7230769230769231,0.8796875,1.0,0.9696969696969697,0.650994575045208,0.5493421052631579,0.6623376623376623,0.7397390233565413
COF,0.7460311784897025,0.553365247196328,0.6257841148111609,0.6227296458110076,0.7667073170731707,0.7740079365079365,0.5198277714785419,0.521696067090804,0.5042748509967802,0.6042452830188679,0.6452823651691881,0.8972174657534246,0.559441636879083,0.533779761904762,0.5624891020052311,0.5188123135143003,0.549324333660343,0.7849785407725323,0.7870126448893573,0.5743347033669614,0.675949230547965,0.5700048954472341,0.5241974963284146,0.5011412875270814,0.6940086402910414,0.8729580965909092,0.5491471215351812,0.5221922668440647,0.5186953336080964,0.5264022799618474,0.5266352809508169,0.5580023364485981,0.8289061211021284,0.5110062893081762,0.8345588235294117,0.5615515080008848,0.5428571428571428,0.8779851495083283,0.5289267015706806,0.6175876010781671,0.524587912087912,0.6700942587832048,0.5584349593495934,0.5037131882202304,0.5689571150097467,0.5124668435013262,0.6074074074074074,0.5530753968253967,0.5785714285714285,0.5667776942086602,0.595311633800586,0.6209405501330967,0.6691836734693878,0.6615017361111111,0.8054794520547945,0.5459735576923077,0.6045945945945945,0.9717813051146384,0.5586124401913876,0.5138494318181819,0.9495738636363636,0.7403776325344953,0.5621323529411765,0.5424448217317488,0.5375,0.6684027777777778,0.625,0.5273207990599295,0.578397212543554,0.6875776397515527,0.5053554040895814,0.5394894894894894,0.5804347826086956,0.5593511450381679,0.5333672949566989,0.5215371621621622,0.6279965753424658,0.5448275862068965,0.5993923611111112,0.509131156613171,0.8232271325796505,0.540625,0.5986352357320099,0.573076923076923,0.580625,0.8771929824561404,0.9663299663299664,0.8679927667269438,0.805921052631579,0.670995670995671,0.6269955805610512
BRM,0.839197177726926,0.7004748648304586,0.7605122573199561,0.611024098040832,0.7688414634146341,0.839186507936508,0.6511631353891075,0.513823019086177,0.5095567582379941,0.6299371069182389,0.6639912230049659,0.8392551369863014,0.5011093307038087,0.6752976190476191,0.6688535309503052,0.544873007786915,0.5583090379008746,0.8940772532188841,0.6649104320337197,0.5487192261385809,0.6763986768301452,0.5946045177984474,0.6447653682075669,0.5046812132466728,0.6321623465211461,0.9291548295454546,0.6588486140724947,0.5770222797987932,0.6174153958877135,0.5759431848217056,0.5206987579528728,0.6925233644859813,0.7951383160094594,0.505188679245283,0.7778033088235294,0.9744856573998968,0.6749299719887956,0.9211318482841662,0.6552356020942409,0.7403638814016172,0.609271978021978,0.6983718937446445,0.8335027100271003,0.7706786171574904,0.5804093567251463,0.5346949602122016,0.6939814814814815,0.7487599206349207,0.5061011904761905,0.5091866337165574,0.6267521976716559,0.7989352262644188,0.7826530612244899,0.673046875,0.8365296803652968,0.7764423076923077,0.8051351351351352,0.7407407407407407,0.7628588516746412,0.7723721590909092,0.9936079545454545,0.8238925199709514,0.731985294117647,0.7423599320882853,0.758984375,0.8291170634920635,0.8888888888888888,0.7103407755581669,0.6785714285714286,0.9080745341614906,0.5676728334956183,0.5051051051051051,0.7127329192546583,0.8469465648854961,0.5318390219052471,0.7664695945945946,0.8865582191780822,0.7625,0.8081597222222222,0.5262866629773104,0.8396711202466598,0.78984375,0.5217121588089331,0.5115384615384615,0.6928125,0.9758771929824561,0.9629629629629629,0.7703435804701627,0.9078947368421053,0.8116883116883118,0.7097385684855431
OCSVM,0.643211289092296,0.8072269767419517,0.9978128548294026,1.0,0.6196036585365854,0.620271164021164,0.9808725553406404,0.5822296124927704,0.519901349592382,0.6001572327044025,0.6133117758016707,0.582876712328767,0.776962899050906,0.9161210317460318,0.750588491717524,0.5604832253838876,0.5282771199204124,0.8589270386266095,0.5498551106427819,0.6907460455847553,0.7431863943621458,0.8457059934261137,0.7548080285334638,0.9458565459610028,0.6671214188267394,0.7950994318181819,0.5747334754797442,0.5727857334593793,0.536955625772771,0.5484664268722923,0.5353697553617265,0.6100233644859814,0.6548424352417093,0.5886006289308177,0.7651654411764706,0.945579234569722,0.6359943977591036,0.8767810555890027,0.686976439790576,0.8464285714285714,0.6153846153846154,0.9965724078834619,0.7833672086720866,0.5549295774647887,0.6565545808966862,0.5250397877984084,0.7953703703703704,0.7507440476190477,0.5941964285714285,0.5527022671107769,0.6050526649243684,0.7364685004436557,0.790204081632653,0.5764322916666667,0.8200913242009132,0.7475961538461537,0.7629729729729731,0.9091710758377425,0.7885765550239234,0.828125,0.8991477272727273,0.7966594045025417,0.7621323529411765,0.7478777589134126,0.83828125,0.8844246031746031,0.8988095238095238,0.8672150411280846,0.6402439024390244,0.8590062111801242,0.6353456669912366,0.5255255255255256,0.6728260869565217,0.8559160305343512,0.6235354049923587,0.7681587837837838,0.7919520547945206,0.768103448275862,0.7947048611111112,0.6164914222468179,0.512846865364851,0.803125,0.6054590570719603,0.7307692307692308,0.6103124999999999,0.9956140350877193,0.9696969696969697,0.5370705244122965,0.5427631578947368,0.6190476190476191,0.7210281163915541
OCKRA,0.8504481311975591,0.7708326828061461,0.9722651378366808,0.9093232214986399,0.7515853658536585,0.8813492063492063,0.7615776251139421,0.524493927125506,0.5765020209632117,0.6549685534591194,0.5822265850560111,0.8849315068493151,0.6010723530136818,0.6950644841269842,0.6728421970357454,0.5505567280401718,0.5641986652480897,0.8817167381974249,0.7804267650158061,0.7673018640760576,0.7524629656263484,0.7239492272186866,0.6523183439401357,0.6606120396162178,0.574181446111869,0.8704723011363636,0.6049040511727078,0.5494088675699964,0.6384347666804049,0.5385720359921397,0.5084242667542547,0.6911448598130842,0.8196117252378595,0.5504716981132076,0.7959558823529411,0.9683651648108547,0.645798319327731,0.9100943206903471,0.5898560209424084,0.7727762803234501,0.5828296703296704,0.9213796058269066,0.7874322493224932,0.8475032010243277,0.543615984405458,0.5,0.8513888888888889,0.5,0.5747023809523809,0.5394864080799397,0.5888176130513978,0.8110026619343389,0.5,0.5,0.7342465753424657,0.5,0.5,0.9911816578483245,0.7485047846889952,0.5,0.9893465909090908,0.8238925199709514,0.7897058823529411,0.7843803056027165,0.5,0.5,0.5,0.7972972972972974,0.7038327526132404,0.8819875776397516,0.629016553067186,0.5857357357357358,0.7409937888198758,0.8793893129770992,0.5710646968925114,0.7985641891891891,0.7915239726027398,0.8646551724137931,0.84765625,0.545655783065855,0.8591983556012333,0.87265625,0.5409429280397022,0.7769230769230769,0.5,0.6403508771929824,0.9696969696969697,0.8517179023508138,0.8125,0.800865800865801,0.7069237840645567
SoGaal,0.8700896262395118,0.6447449012679876,0.6697503862405301,0.7421482153161323,0.5350304878048779,0.7954695767195767,0.9757887013939839,0.6290196645459804,0.5408508597657052,0.5095283018867924,0.5291219155406706,0.5602311643835616,0.7827560705041292,0.6337549603174604,0.5530296425457716,0.7588676224437814,0.5317107208489353,0.6609442060085837,0.5794915700737618,0.6961846639265994,0.7232669351359126,0.745314357647388,0.6001993146373872,0.5412217579696689,0.6604138244656662,0.7397017045454546,0.5560767590618336,0.5688759730635016,0.6622017676420754,0.5828612142175846,0.5293237473084924,0.5870093457943926,0.5270857394269373,0.557625786163522,0.6084558823529412,0.9901039746331392,0.6137254901960785,0.8779851495083283,0.5107329842931937,0.5949460916442049,0.6101648351648352,0.8440445586975149,0.7847222222222222,0.8038412291933419,0.5516569200779726,0.7081962864721485,0.6828703703703705,0.8487103174603174,0.7711309523809524,0.5176748683786397,0.9424249623821969,0.5593611357586512,0.8381632653061224,0.647265625,0.7232876712328766,0.8849158653846154,0.8010810810810811,0.6049382716049383,0.7102272727272727,0.6725852272727273,0.9850852272727273,0.8572984749455338,0.9580882352941177,0.899830220713073,0.687109375,0.9126984126984127,0.8092757936507937,0.9048178613396005,0.519163763066202,0.8832298136645963,0.7151898734177214,0.5731231231231231,0.6818322981366459,0.8532442748091603,0.553744268976057,0.8665540540540541,0.6832191780821918,0.6293103448275862,0.5303819444444444,0.6751521859435529,0.7358684480986639,0.9390625,0.5198511166253101,0.5653846153846154,0.8665625,0.9868421052631579,0.9797979797979798,0.5714285714285714,0.5263157894736843,0.6428571428571428,0.6999469276448839
MoGaal,0.7870542524790236,0.68903439347247,0.9291737244755505,0.97422581265628,0.5270426829268293,0.7807539682539683,0.956772419721796,0.6591346153846154,0.7088168801808591,0.5194025157232705,0.579647380374947,0.7140410958904109,0.6856588191790953,0.5485119047619048,0.6030732345248474,0.7389418528491376,0.5609136003758307,0.6794849785407725,0.5854847207586933,0.6201685556524266,0.7175320005752912,0.7342471501503602,0.6941394503112106,0.5087240792324358,0.765006821282401,0.6808416193181819,0.6374200426439233,0.551346241378103,0.6415258506205065,0.5106011330858777,0.7683661180248895,0.5677102803738318,0.5889017213881098,0.5634433962264151,0.6608455882352942,0.8887250202787405,0.538515406162465,0.8589203291190046,0.550261780104712,0.6307277628032345,0.5520604395604396,1.0,0.7271341463414633,0.8151088348271447,0.5006091617933723,0.6221485411140584,0.8541666666666666,0.6579861111111112,0.8933035714285714,0.8516170624261309,0.7255880256593015,0.6713398402839397,0.926530612244898,0.6198350694444443,0.8958904109589041,0.5883413461538461,0.7254054054054054,0.5132275132275133,0.7616626794258372,0.9382102272727273,0.8955965909090909,0.90559186637618,0.6485294117647059,0.8582342954159592,0.730078125,0.5562996031746031,0.9608134920634921,0.9591656874265571,0.7212543554006968,0.8975155279503105,0.7103213242453749,0.5503003003003002,0.5582298136645962,0.8043893129770993,0.5165562913907285,0.7799831081081081,0.8356164383561644,0.6422413793103448,0.7630208333333333,0.6889872717210848,0.8273381294964028,0.97421875,0.5707196029776676,0.5230769230769231,0.9834375,0.9671052631578947,0.9696969696969697,0.6365280289330923,0.6644736842105263,0.5454545454545454,0.7154453254526247
